rhoc,R,M,Lambda,I
3.685652611437186250e+14,1.503002485000046384e+01,9.453221094318808859e-01,1.021895119006883942e+04,1.181825790065702764e+00
3.748507072804020000e+14,1.502002490000046286e+01,9.749194202148629973e-01,8.720134707824945508e+03,1.232009324845482423e+00
3.811361534170854375e+14,1.500002500000046091e+01,1.005082663988109637e+00,7.448392562218982675e+03,1.283818595689680153e+00
3.874215995537688750e+14,1.499002505000045993e+01,1.035809238287605183e+00,6.368250635804448393e+03,1.337286760425189236e+00
3.937070456904522500e+14,1.498002510000045895e+01,1.067063741882040784e+00,5.450627960323847219e+03,1.392387774520682076e+00
3.999924918271356875e+14,1.497002515000045797e+01,1.098832282507856917e+00,4.670765755342208649e+03,1.449136323854594233e+00
4.062779379638191250e+14,1.496002520000045699e+01,1.131098183836731774e+00,4.007003968042117776e+03,1.507533792396638761e+00
4.125633841005025000e+14,1.496002520000045699e+01,1.163836209554972134e+00,3.441805068082021990e+03,1.567570487198394868e+00
4.188488302371859375e+14,1.495002525000045601e+01,1.196994228672883409e+00,2.960449531392612698e+03,1.629178931237752703e+00
4.251342763738693750e+14,1.495002525000045601e+01,1.230535646320337406e+00,2.550124249451419928e+03,1.692321868324770051e+00
4.314197225105527500e+14,1.494002530000045503e+01,1.264430036098388443e+00,2.199977697648393587e+03,1.756957350303905985e+00
4.377051686472361875e+14,1.494002530000045503e+01,1.298623359521237086e+00,1.901067659889131619e+03,1.823008541824890472e+00
4.439906147839196250e+14,1.493002535000045405e+01,1.333055534958056398e+00,1.645639557302653884e+03,1.890371399737314384e+00
4.502760609206030000e+14,1.493002535000045405e+01,1.367672578082645529e+00,1.427226179619528466e+03,1.958945910252564593e+00
4.565615070572864375e+14,1.493002535000045405e+01,1.402434803426498622e+00,1.240175221892871832e+03,2.028663093226163117e+00
4.628469531939698750e+14,1.493002535000045405e+01,1.437273633295683695e+00,1.079817394769053635e+03,2.099378946285916481e+00
4.691323993306532500e+14,1.492002540000045130e+01,1.472122127381422674e+00,9.422619843123677583e+02,2.170962674856669050e+00
4.754178454673366875e+14,1.492002540000045130e+01,1.506908783805763985e+00,8.240977475254022693e+02,2.243233687089080775e+00
4.817032916040201250e+14,1.492002540000045130e+01,1.535949969765023626e+00,7.379684314656110473e+02,2.304182739510869826e+00
4.879887377407035000e+14,1.492002540000045130e+01,1.560618510262343106e+00,6.724955044369360166e+02,2.356310521123537338e+00
4.942741838773869375e+14,1.491002545000045032e+01,1.583572369213912978e+00,6.171393444988857482e+02,2.405034242166565139e+00
5.005596300140703750e+14,1.491002545000045032e+01,1.605352168986811323e+00,5.690741125093272785e+02,2.451402523690715984e+00
5.068450761507537500e+14,1.491002545000045032e+01,1.626208772939735425e+00,5.266981291163569949e+02,2.495889079900327712e+00
5.131305222874371875e+14,1.490002550000044934e+01,1.646290422891592442e+00,4.889900770025406018e+02,2.538747643164002810e+00
5.194159684241206250e+14,1.490002550000044934e+01,1.665697582449128022e+00,4.551821495607540555e+02,2.580168377414946423e+00
5.257014145608040000e+14,1.490002550000044934e+01,1.684493014367550057e+00,4.246727620120541360e+02,2.620236447434954652e+00
5.319868606974874375e+14,1.489002555000044836e+01,1.702738067865190219e+00,3.970136388987426130e+02,2.659073167957490824e+00
5.382723068341708750e+14,1.488002560000044738e+01,1.720466163074024557e+00,3.718629209577939605e+02,2.696713889011757015e+00
5.445577529708542500e+14,1.488002560000044738e+01,1.737710475440758628e+00,3.488944188097841561e+02,2.733211537955348103e+00
5.508431991075376875e+14,1.487002565000044640e+01,1.754500496899870976e+00,3.279199544796549617e+02,2.768620955007000894e+00
5.571286452442211250e+14,1.486002570000044543e+01,1.770858224708488304e+00,3.085600140029033014e+02,2.802976012094283043e+00
5.634140913809045000e+14,1.486002570000044543e+01,1.786797039871600878e+00,2.908029913570391045e+02,2.836273601439558867e+00
5.696995375175880000e+14,1.485002575000044445e+01,1.802342177865043027e+00,2.743895717427959653e+02,2.868583680013582882e+00
5.759849836542713750e+14,1.484002580000044347e+01,1.817504995980400828e+00,2.592607388270316164e+02,2.899931170465285479e+00
5.822704297909547500e+14,1.483002585000044249e+01,1.832299764495103789e+00,2.452170696606006004e+02,2.930285159935566597e+00
5.885558759276382500e+14,1.482002590000044151e+01,1.846641322040231792e+00,2.322970721976741970e+02,2.959541254635181584e+00
5.948413220643216250e+14,1.481002595000044053e+01,1.859608386778630607e+00,2.211422271141531724e+02,2.985775381008603624e+00
6.011267682010050000e+14,1.480002600000043778e+01,1.872018315469144767e+00,2.109218114251258669e+02,3.010682570233948141e+00
6.074122143376885000e+14,1.479002605000043680e+01,1.884054451393343932e+00,2.014017728298637167e+02,3.034628698950331493e+00
6.136976604743718750e+14,1.478002610000043582e+01,1.895764443264191135e+00,1.925106699719145809e+02,3.057722302394599190e+00
6.199831066110552500e+14,1.477002615000043484e+01,1.907175409366170804e+00,1.841570462688780765e+02,3.079959190786454304e+00
6.262685527477387500e+14,1.476002620000043386e+01,1.918308163891308649e+00,1.763180230443091432e+02,3.101432423375227732e+00
6.325539988844221250e+14,1.475002625000043288e+01,1.929171307477877795e+00,1.689277130787095302e+02,3.122136547796424022e+00
6.388394450211055000e+14,1.474002630000043190e+01,1.939776195314040663e+00,1.619726087104494070e+02,3.142110851294146467e+00
