rhoc,R,M,Lambda,I
2.240000000000000000e+14,2.000000000000101963e+01,1.113885405972360743e-01,1.542258462655797899e+08,5.933308931427311306e-02
2.397587939698492500e+14,2.000000000000101963e+01,1.194182196893648351e-01,9.463922601615241170e+07,6.043162533552073890e-02
2.555175879396985000e+14,2.000000000000101963e+01,1.286078056130035008e-01,5.765196207264445722e+07,6.266927294867571940e-02
2.712763819095477500e+14,2.000000000000101963e+01,1.389863436390107454e-01,3.523184514020062983e+07,6.606693302967053816e-02
2.870351758793970000e+14,2.000000000000101963e+01,1.505570898631616306e-01,2.183472708310770988e+07,7.061411951656217101e-02
3.027939698492462500e+14,1.908000460000091536e+01,1.633217394761174168e-01,1.382240348232703097e+07,7.627855992188327383e-02
3.185527638190955000e+14,1.754001230000074329e+01,1.772824472228092807e-01,8.929833474276408553e+06,8.302703486270235356e-02
3.343115577889447500e+14,1.636001820000061358e+01,1.924466887259641823e-01,5.860389262218338437e+06,9.085520367821522947e-02
3.500703517587940000e+14,1.545002275000051206e+01,2.087380964385950055e-01,3.904009461644145660e+06,9.973399850432887459e-02
3.658291457286432500e+14,1.472002640000042994e+01,2.261272802564841256e-01,2.636590418903405778e+06,1.096678689268193452e-01
3.815879396984925000e+14,1.414002930000036429e+01,2.445799874473313651e-01,1.803781712991676759e+06,1.206637785260342988e-01
3.973467336683417500e+14,1.368003160000031393e+01,2.640658577194404666e-01,1.249211948367018485e+06,1.327347786297879695e-01
4.131055276381909375e+14,1.329003355000027042e+01,2.845920487329507975e-01,8.747322668906839099e+05,1.459186396613329773e-01
4.288643216080401875e+14,1.298003510000023475e+01,3.061064931698617708e-01,6.192260355775991920e+05,1.602164499134499653e-01
4.446231155778894375e+14,1.272003640000020575e+01,3.284415659535773746e-01,4.438251910540315439e+05,1.755470982021840598e-01
4.603819095477386875e+14,1.250003750000018243e+01,3.516654132683987299e-01,3.213517352543242741e+05,1.919820100447892364e-01
4.761407035175879375e+14,1.232003840000016126e+01,3.759063985349956893e-01,2.344565187144098454e+05,2.096471843050848327e-01
4.918994974874371875e+14,1.217003915000014480e+01,4.011455017482795093e-01,1.723280357894276385e+05,2.285705375021542807e-01
5.076582914572864375e+14,1.204003980000013030e+01,4.274653284382445850e-01,1.274320551888226764e+05,2.488625929870489084e-01
5.234170854271356875e+14,1.191004045000011580e+01,4.601195198861761648e-01,8.973231111545034219e+04,2.748167851389585192e-01
5.391758793969849375e+14,1.178004110000010130e+01,5.077182552990312514e-01,5.615575165488653874e+04,3.144499486529592214e-01
