rhoc,R,M,Lambda,I
5.327503616192965000e+14,1.405002975000035548e+01,1.176411412561027436e+00,2.236022264801723850e+03,1.421323537709421325e+00
5.467844689656281250e+14,1.402002990000035076e+01,1.209927395669737393e+00,1.891351395227934745e+03,1.471518195910890281e+00
5.608185763119598125e+14,1.399003005000034783e+01,1.243142444893097887e+00,1.605555009600976746e+03,1.521261148054399603e+00
5.748526836582915000e+14,1.396003020000034489e+01,1.275495006755385630e+00,1.371147455623046881e+03,1.569667631288280019e+00
5.888867910046231250e+14,1.393003035000034195e+01,1.306939072575211469e+00,1.177867932287180793e+03,1.616638104422457589e+00
6.029208983509547500e+14,1.390003050000033724e+01,1.337622986349682463e+00,1.016829899714402927e+03,1.662375595830769770e+00
6.169550056972865000e+14,1.387003065000033430e+01,1.367867031965666280e+00,8.805163906222124979e+02,1.707315198797614286e+00
6.309891130436180000e+14,1.384003080000033137e+01,1.397138004139798273e+00,7.667067594145278235e+02,1.750655963967353568e+00
6.450232203899497500e+14,1.381003095000032843e+01,1.425534803873299117e+00,6.707894375970432748e+02,1.792509856370266164e+00
6.590573277362813750e+14,1.377003115000032274e+01,1.453586894448762656e+00,5.880737151932398774e+02,1.833633273404470687e+00
6.730914350826130000e+14,1.374003130000031980e+01,1.480603656014609415e+00,5.182530789482682394e+02,1.873020793432036646e+00
6.871255424289447500e+14,1.371003145000031687e+01,1.506948092846648768e+00,4.582334624940555159e+02,1.911165017641468511e+00
7.011596497752763750e+14,1.367003165000031295e+01,1.532720808992863892e+00,4.063348274110356897e+02,1.948223354735501900e+00
7.151937571216080000e+14,1.364003180000030824e+01,1.557398288386330876e+00,3.620940225290942180e+02,1.983412935739937488e+00
7.292278644679397500e+14,1.360003200000030432e+01,1.581875092006919559e+00,3.229485062014482537e+02,2.018010898920710616e+00
7.432619718142713750e+14,1.357003215000030139e+01,1.605294594935879005e+00,2.894142272891673997e+02,2.050803934327499078e+00
7.572960791606030000e+14,1.353003235000029747e+01,1.628198285506021525e+00,2.599021522831812945e+02,2.082541847880559516e+00
