rhoc,R,M,Lambda,I
4.134239629659296250e+14,1.323003385000026277e+01,6.635192705965103910e-01,2.969196922064924729e+04,5.759885600196683608e-01
4.224441516785930000e+14,1.321003395000026082e+01,6.987233046325790342e-01,2.328018107082278584e+04,6.201959913774551802e-01
4.314643403912562500e+14,1.319003405000025886e+01,7.346030575389761452e-01,1.836777142629555237e+04,6.664084546977343537e-01
4.404845291039196250e+14,1.318003410000025788e+01,7.710500671149529417e-01,1.458287291579266093e+04,7.145112087258622680e-01
4.495047178165828750e+14,1.318003410000025788e+01,8.079744051286941176e-01,1.165027580641506574e+04,7.644033284171883880e-01
4.585249065292462500e+14,1.317003415000025690e+01,8.452918949616707867e-01,9.365159240108163431e+03,8.159874049144570929e-01
4.675450952419095000e+14,1.318003410000025788e+01,8.829121496136143055e-01,7.574161128912027380e+03,8.691365168793594442e-01
4.765652839545728750e+14,1.318003410000025788e+01,9.207435184305809983e-01,6.162512869577625679e+03,9.237120442148424315e-01
4.855854726672361875e+14,1.319003405000025886e+01,9.587094347692785012e-01,5.043530920758887078e+03,9.795958170641998475e-01
4.946056613798995000e+14,1.320003400000025984e+01,9.967268468620917865e-01,4.151372253530476883e+03,1.036641566816336679e+00
5.036258500925628125e+14,1.320003400000025984e+01,1.034712592285514710e+00,3.436382466617490081e+03,1.094693332453963608e+00
5.126460388052261250e+14,1.321003395000026082e+01,1.072590437926268070e+00,2.860180961743825264e+03,1.153598225107868025e+00
5.216662275178894375e+14,1.322003390000026180e+01,1.110296439800713797e+00,2.393456587903892796e+03,1.213223787706613210e+00
5.306864162305527500e+14,1.323003385000026277e+01,1.147761222042111617e+00,2.013361524307675154e+03,1.273411139521319679e+00
5.397066049432160625e+14,1.324003380000026375e+01,1.184920909652127818e+00,1.702271629274011957e+03,1.334008037889693910e+00
5.487267936558793750e+14,1.325003375000026473e+01,1.221743670112214408e+00,1.446186081413461807e+03,1.394908244051292323e+00
5.577469823685426875e+14,1.326003370000026571e+01,1.258224103127460802e+00,1.234222597463123293e+03,1.456063456775143594e+00
5.667671710812060000e+14,1.327003365000026847e+01,1.294226514576040987e+00,1.058268564882426290e+03,1.517175185490008849e+00
5.757873597938692500e+14,1.328003360000026944e+01,1.329718682727233148e+00,9.115921955117494235e+02,1.578143338232660398e+00
5.848075485065326250e+14,1.328003360000026944e+01,1.364655005519543884e+00,7.887198907747979320e+02,1.638822369513716071e+00
5.938277372191960000e+14,1.329003355000027042e+01,1.399026164393460503e+00,6.855049546070986253e+02,1.699171839901568282e+00
6.028479259318592500e+14,1.329003355000027042e+01,1.432749481969709082e+00,5.979944414987722894e+02,1.758912422726109481e+00
6.118681146445226250e+14,1.330003350000027140e+01,1.465835679418970638e+00,5.239377703786586835e+02,1.818048693208698330e+00
6.208883033571860000e+14,1.330003350000027140e+01,1.497280352938441750e+00,4.624852568251556022e+02,1.874696522851778901e+00
6.299084920698492500e+14,1.330003350000027140e+01,1.525326181334089481e+00,4.141026828918502360e+02,1.925543993323157510e+00
6.389286807825125000e+14,1.331003345000027238e+01,1.548700501139529839e+00,3.779492983641075625e+02,1.968136237223187202e+00
6.479488694951758750e+14,1.331003345000027238e+01,1.568018419128934138e+00,3.504776113257470342e+02,2.003352161401906084e+00
6.569690582078392500e+14,1.330003350000027140e+01,1.586203530509860959e+00,3.264465404134741675e+02,2.036490727076806007e+00
6.659892469205025000e+14,1.330003350000027140e+01,1.603625210597745765e+00,3.049716334448215207e+02,2.068195680665377179e+00
6.750094356331657500e+14,1.330003350000027140e+01,1.620359362907793033e+00,2.855970985244341591e+02,2.098496584443447333e+00
6.840296243458291250e+14,1.330003350000027140e+01,1.636496795218636446e+00,2.679591286280079885e+02,2.127564430541447393e+00
6.930498130584925000e+14,1.330003350000027140e+01,1.652111470189260967e+00,2.519402367430888319e+02,2.155586262111745199e+00
7.020700017711557500e+14,1.329003355000027042e+01,1.667163784533574056e+00,2.372635998321340196e+02,2.182345487595501954e+00
7.110901904838190000e+14,1.329003355000027042e+01,1.681750138359678903e+00,2.238266576222058006e+02,2.208126262530977879e+00
7.201103791964823750e+14,1.328003360000026944e+01,1.695843546606013774e+00,2.114517938373420520e+02,2.232798826198623132e+00
7.291305679091457500e+14,1.327003365000026847e+01,1.709501125009255551e+00,2.000854345492942912e+02,2.256508020041452678e+00
7.381507566218090000e+14,1.327003365000026847e+01,1.722703219294954957e+00,1.895508926718928251e+02,2.279151114142977441e+00
7.471709453344723750e+14,1.326003370000026571e+01,1.735483221308085078e+00,1.798303623729434548e+02,2.300841136573973156e+00
7.561911340471357500e+14,1.325003375000026473e+01,1.747848400243536382e+00,1.707996532712061821e+02,2.321580547227866997e+00
7.652113227597990000e+14,1.324003380000026375e+01,1.759795844640973828e+00,1.624861397836323249e+02,2.341350970470240433e+00
7.742315114724622500e+14,1.323003385000026277e+01,1.771362015275135926e+00,1.546869752094209787e+02,2.360204596933534571e+00
7.832517001851256250e+14,1.322003390000026180e+01,1.782588680351755661e+00,1.474537666152197062e+02,2.378279206595535378e+00
7.922718888977888750e+14,1.321003395000026082e+01,1.793455507626316781e+00,1.406720472949032796e+02,2.395476011744121614e+00
8.012920776104522500e+14,1.320003400000025984e+01,1.803987914050362296e+00,1.343765184949666320e+02,2.411868875548496050e+00
8.103122663231156250e+14,1.319003405000025886e+01,1.814193702125448393e+00,1.284330565662386903e+02,2.427458708657539432e+00
8.193324550357788750e+14,1.318003410000025788e+01,1.824114543291377011e+00,1.228822467771844487e+02,2.442371549777615503e+00
8.283526437484422500e+14,1.317003415000025690e+01,1.833722517386494166e+00,1.176452235615596180e+02,2.456499210479849982e+00
8.373728324611055000e+14,1.315003425000025494e+01,1.843029624526898225e+00,1.127519772839293921e+02,2.469889377941929087e+00
8.463930211737688750e+14,1.314003430000025396e+01,1.852056560518072770e+00,1.081314674086909520e+02,2.482595996800288862e+00
8.554132098864321250e+14,1.313003435000025121e+01,1.860815560271115388e+00,1.037807769313672708e+02,2.494648604974599504e+00
8.644333985990955000e+14,1.312003440000025023e+01,1.869307828481763689e+00,9.968724800863267888e+01,2.506057421930373508e+00
8.734535873117587500e+14,1.310003450000024827e+01,1.877540303200557092e+00,9.581641409131563591e+01,2.516821884093765949e+00
8.824737760244221250e+14,1.309003455000024729e+01,1.885517926605266847e+00,9.214601369269219333e+01,2.526960386613895437e+00
8.914939647370853750e+14,1.307003465000024534e+01,1.893260627588780887e+00,8.868646981611783531e+01,2.536535033595778366e+00
9.005141534497487500e+14,1.306003470000024436e+01,1.900764325828440127e+00,8.542748006440038466e+01,2.545532611458631855e+00
9.095343421624120000e+14,1.304003480000024240e+01,1.908030336709050090e+00,8.232165822941428246e+01,2.553935888862063575e+00
9.185545308750753750e+14,1.303003485000024142e+01,1.915085168272461891e+00,7.937789524223305193e+01,2.561835875001198026e+00
9.275747195877386250e+14,1.301003495000023946e+01,1.921926787417673310e+00,7.659758267063892845e+01,2.569232099132833902e+00
9.365949083004020000e+14,1.300003500000023671e+01,1.928541483271248635e+00,7.393958336224673644e+01,2.576054495406576272e+00
9.456150970130652500e+14,1.298003510000023475e+01,1.934965073620846576e+00,7.142610631993889569e+01,2.582436660473870660e+00
9.546352857257286250e+14,1.296003520000023279e+01,1.941193350656622352e+00,6.903023267673148666e+01,2.588343099300046024e+00
9.636554744383920000e+14,1.295003525000023181e+01,1.947229696381082009e+00,6.674919708153484521e+01,2.593800888876113486e+00
9.726756631510552500e+14,1.293003535000022985e+01,1.953077671755565126e+00,6.458338625110401665e+01,2.598812732236202905e+00
9.816958518637186250e+14,1.291003545000022790e+01,1.958734173666829559e+00,6.250797883739511462e+01,2.603360651083466593e+00
9.907160405763818750e+14,1.290003550000022692e+01,1.964221611964809933e+00,6.054046612184751552e+01,2.607527376695624177e+00
9.997362292890452500e+14,1.288003560000022496e+01,1.969541175684179857e+00,5.865641519021998107e+01,2.611314614813520674e+00
1.008756418001708500e+15,1.286003570000022123e+01,1.974681761730973095e+00,5.685524556734414148e+01,2.614668706249602792e+00
1.017776606714371875e+15,1.285003575000022025e+01,1.979662968177519966e+00,5.514716811325821055e+01,2.617669641841253281e+00
1.026796795427035125e+15,1.283003585000021829e+01,1.984494660318009585e+00,5.350720454974712936e+01,2.620350817251056785e+00
