rhoc,R,M,Lambda,I
5.307267132967839375e+14,1.254003730000018635e+01,5.391565893319281155e-01,5.284450798023458628e+04,3.762977500171257872e-01
5.440626573531658750e+14,1.245003775000017576e+01,5.618133609237758730e-01,4.225389709296357614e+04,3.949888201262126142e-01
5.573986014095477500e+14,1.237003815000016793e+01,5.854511217289127822e-01,3.378866981202280294e+04,4.149229408686087028e-01
5.707345454659297500e+14,1.230003850000015930e+01,6.097263369150947021e-01,2.711185034781844661e+04,4.358456383425649006e-01
5.840704895223115000e+14,1.223003885000015067e+01,6.345090537390387642e-01,2.184970681782956308e+04,4.576642603853442459e-01
5.974064335786935000e+14,1.217003915000014480e+01,6.598001485996289883e-01,1.768106601836803384e+04,4.803929810225384678e-01
6.107423776350753750e+14,1.211003945000013715e+01,6.855999122202256491e-01,1.436185954242766638e+04,5.040437010280816033e-01
6.240783216914572500e+14,1.206003970000013226e+01,7.119129513833942768e-01,1.170723372428865332e+04,5.286357569965377534e-01
6.374142657478392500e+14,1.202003990000012834e+01,7.387483839157086285e-01,9.573326090896947790e+03,5.541941588776226890e-01
6.507502098042211250e+14,1.198004010000012265e+01,7.661030986483848837e-01,7.852571179205611770e+03,5.807268925702652185e-01
6.640861538606030000e+14,1.194004030000011873e+01,7.939817655560711396e-01,6.458529064475473206e+03,6.082552779538920040e-01
6.774220979169850000e+14,1.191004045000011580e+01,8.223506679347284409e-01,5.326900205220885255e+03,6.367605389750200517e-01
6.907580419733668750e+14,1.187004065000011188e+01,8.512441004382742538e-01,4.403919836153112556e+03,6.662958782399152069e-01
7.040939860297487500e+14,1.184004080000010717e+01,8.806361016295735089e-01,3.649704590253742026e+03,6.968514316301319678e-01
7.174299300861307500e+14,1.182004090000010521e+01,9.105188842430955720e-01,3.031362884158337692e+03,7.284377002879250940e-01
7.307658741425125000e+14,1.179004105000010227e+01,9.408699655537845485e-01,2.523506017334449552e+03,7.610506624323785108e-01
7.441018181988945000e+14,1.177004115000010032e+01,9.716654597251795922e-01,2.105248190799484746e+03,7.946808567795821121e-01
7.574377622552763750e+14,1.175004125000009836e+01,1.002885686303976787e+00,1.760126786581486385e+03,8.293205983658460401e-01
7.707737063116582500e+14,1.173004135000009640e+01,1.034793596979701968e+00,1.472303332658555973e+03,8.652893005283039951e-01
7.841096503680402500e+14,1.171004145000009267e+01,1.067057006152234866e+00,1.234394028510410408e+03,9.022452460428463938e-01
7.974455944244221250e+14,1.169004155000009071e+01,1.099749280238265348e+00,1.036586485826119997e+03,9.402767020997258030e-01
8.107815384808040000e+14,1.167004165000008875e+01,1.132925582959678046e+00,8.715786593946061203e+02,9.794748725609682127e-01
8.241174825371860000e+14,1.166004170000008777e+01,1.166419107717291848e+00,7.342809519533643652e+02,1.019667194604555238e+00
8.374534265935678750e+14,1.164004180000008581e+01,1.200223228803063202e+00,6.196748987209759889e+02,1.060844804027858190e+00
8.507893706499497500e+14,1.163004185000008484e+01,1.234327350798607004e+00,5.239090802271985012e+02,1.103037599881410147e+00
8.641253147063317500e+14,1.161004195000008288e+01,1.268507938743540953e+00,4.440201888123037861e+02,1.145947965740347074e+00
8.774612587627136250e+14,1.160004200000008190e+01,1.302669743111855682e+00,3.774059810135804582e+02,1.189444511886522893e+00
8.907972028190955000e+14,1.158004210000007816e+01,1.336785667277125000e+00,3.216809463056010827e+02,1.233553250413948588e+00
9.041331468754773750e+14,1.157004215000007719e+01,1.370592689037611001e+00,2.751506259758781425e+02,1.277828811256628505e+00
9.174690909318593750e+14,1.156004220000007621e+01,1.403935747600002726e+00,2.362913731288992949e+02,1.322066310404366396e+00
9.308050349882412500e+14,1.154004230000007425e+01,1.436628939150442541e+00,2.038708272988175167e+02,1.365978829185380938e+00
9.441409790446231250e+14,1.153004235000007327e+01,1.468511357255044336e+00,1.767831492903510480e+02,1.409300811190337788e+00
9.574769231010050000e+14,1.152004240000007229e+01,1.499433333293743065e+00,1.541301847992322678e+02,1.451772833320852163e+00
9.708128671573870000e+14,1.151004245000007131e+01,1.529253959288869869e+00,1.351771989630487951e+02,1.493144793503880186e+00
9.841488112137688750e+14,1.149004255000006935e+01,1.557816452507216010e+00,1.192592098514991790e+02,1.533065997285914417e+00
9.974847552701507500e+14,1.148004260000006838e+01,1.585091049255575868e+00,1.058633566569117477e+02,1.571485379720661602e+00
1.010820699326532750e+15,1.147004265000006562e+01,1.610987975016844764e+00,9.455792320410992602e+01,1.608163459893048319e+00
1.024156643382914625e+15,1.145004275000006366e+01,1.635510730276707791e+00,8.496727182418470647e+01,1.643055261504032805e+00
1.037492587439296500e+15,1.144004280000006268e+01,1.658655959176329242e+00,7.679766645323550733e+01,1.676093356582509131e+00
1.050828531495678375e+15,1.143004285000006170e+01,1.680481398613400623e+00,6.981227756609332857e+01,1.707322134377184275e+00
1.064164475552060375e+15,1.141004295000005975e+01,1.701015955180380068e+00,6.380232405533982387e+01,1.736730561219930635e+00
1.077500419608442250e+15,1.140004300000005877e+01,1.720285909186539675e+00,5.859691402173277197e+01,1.764273174027158886e+00
1.090836363664824125e+15,1.139004305000005779e+01,1.738394923921998902e+00,5.407216384054465408e+01,1.790113022911252294e+00
1.104172307721206125e+15,1.137004315000005583e+01,1.755406477709438029e+00,5.011574957757380844e+01,1.814313965488268954e+00
1.117508251777588000e+15,1.136004320000005485e+01,1.771365583367968677e+00,4.662941132650405507e+01,1.836873952628687912e+00
1.130844195833970000e+15,1.135004325000005387e+01,1.786378355604222756e+00,4.355454310106668459e+01,1.857997443384577174e+00
1.144180139890351750e+15,1.133004335000005014e+01,1.800491631847249252e+00,4.081895735249220536e+01,1.877698165542593944e+00
1.157516083946733750e+15,1.132004340000004916e+01,1.813773209007605747e+00,3.837927028320417122e+01,1.896082488436242608e+00
1.170852028003115500e+15,1.131004345000004818e+01,1.826280755530673039e+00,3.618675401299945094e+01,1.913213238298429042e+00
1.184187972059497500e+15,1.129004355000004622e+01,1.838086545714718412e+00,3.421583892640707347e+01,1.929222884660743986e+00
1.197523916115879500e+15,1.128004360000004525e+01,1.849207080591026342e+00,3.242723454820176698e+01,1.944067402354887175e+00
1.210859860172261500e+15,1.127004365000004427e+01,1.859734600498812451e+00,3.080093730903677596e+01,1.957947911001546748e+00
1.224195804228643250e+15,1.125004375000004231e+01,1.869681187420834778e+00,2.931721858586320195e+01,1.970832915330062551e+00
1.237531748285025000e+15,1.124004380000004133e+01,1.879099975555211577e+00,2.795491850724149074e+01,1.982809065339036891e+00
1.250867692341407000e+15,1.122004390000003937e+01,1.888067712328331593e+00,2.670831166862797446e+01,1.994057343270978944e+00
1.264203636397789000e+15,1.121004395000003662e+01,1.896539361715515293e+00,2.555034811436065212e+01,2.004374685610146312e+00
1.277539580454171000e+15,1.120004400000003564e+01,1.904592356103519402e+00,2.447784398931424477e+01,2.013940522510266895e+00
1.290875524510552750e+15,1.118004410000003368e+01,1.912302389931568536e+00,2.348335831269320551e+01,2.022947110635751944e+00
1.304211468566934750e+15,1.117004415000003270e+01,1.919639569753493369e+00,2.255461159718790398e+01,2.031234963148331740e+00
1.317547412623316500e+15,1.114862942927545575e+01,1.926635709438437205e+00,2.168225543519807985e+01,2.038880048378926002e+00
1.330883356679698500e+15,1.114004430000002976e+01,1.933350050150521637e+00,2.086505204508200606e+01,2.045996561070457798e+00
1.344219300736080500e+15,1.111889236555154703e+01,1.939770949130257494e+00,2.009415602890031494e+01,2.052524300880326003e+00
1.357555244792462250e+15,1.111004445000002683e+01,1.945942429374729166e+00,1.936432620309881258e+01,2.058544494370233124e+00
1.370891188848844250e+15,1.109004455000002487e+01,1.951889786107676050e+00,1.867043402368828353e+01,2.064085495760984212e+00
1.384227132905226250e+15,1.108004460000002211e+01,1.957618297090913950e+00,1.800882553583122103e+01,2.069137862531733596e+00
1.397563076961608000e+15,1.106004470000002016e+01,1.963169849212925699e+00,1.737583725102315668e+01,2.073750885538498068e+00
1.410899021017990000e+15,1.104004480000001820e+01,1.968587037645350479e+00,1.676401034811281932e+01,2.077984021417063065e+00
1.424234965074372000e+15,1.103004485000001722e+01,1.973704319474751445e+00,1.619129425170877568e+01,2.081681693736706862e+00
1.437570909130753750e+15,1.101004495000001526e+01,1.978520935218781140e+00,1.565459514342863123e+01,2.084877052841946465e+00
1.450906853187135750e+15,1.099004505000001330e+01,1.983077001666668782e+00,1.515124234780616064e+01,2.087626133896792080e+00
1.464242797243517750e+15,1.098004510000001233e+01,1.987509295302671175e+00,1.466331279152267975e+01,2.090021365104127504e+00
1.477578741299899500e+15,1.096004520000001037e+01,1.991665302242484392e+00,1.420617639886563843e+01,2.091955591553907201e+00
1.490914685356281500e+15,1.093853557019422240e+01,1.995585409461495985e+00,1.377739624712240563e+01,2.093529956298355366e+00
1.504250629412663500e+15,1.093004535000000566e+01,1.999306251106843124e+00,1.336727796942316715e+01,2.094696835428658588e+00
1.517586573469045250e+15,1.091004545000000370e+01,2.002878170268601377e+00,1.297416568636450407e+01,2.095540553173109277e+00
1.530922517525427250e+15,1.089004555000000174e+01,2.006229601866763357e+00,1.260436360313412152e+01,2.096048491212264331e+00
1.544258461581809000e+15,1.087004564999999978e+01,2.009365514399833685e+00,1.225484918917264565e+01,2.096215753829985484e+00
1.557594405638191000e+15,1.086004569999999880e+01,2.012368311852205771e+00,1.191692899596661626e+01,2.096065578007642483e+00
1.570930349694573000e+15,1.084004579999999685e+01,2.015203805181703167e+00,1.159488321996557403e+01,2.095622909610477702e+00
1.584266293750954750e+15,1.082004589999999311e+01,2.017853635372517385e+00,1.129078526501833224e+01,2.094905720032255392e+00
1.597602237807336750e+15,1.081004594999999213e+01,2.020328464176833094e+00,1.100413391646009131e+01,2.093938097024917955e+00
1.610938181863718750e+15,1.079004604999999017e+01,2.022702593422899486e+00,1.072355725733681098e+01,2.092669933806657223e+00
1.624274125920100500e+15,1.076835614183520917e+01,2.024917360994395121e+00,1.045768551814976988e+01,2.091190547105517883e+00
1.637610069976482500e+15,1.076004619999998724e+01,2.026966317012108387e+00,1.020511292417131699e+01,2.089459851651695121e+00
1.650946014032864500e+15,1.074004629999998528e+01,2.028877392935264812e+00,9.962391551715825244e+00,2.087483764376747430e+00
1.664281958089246250e+15,1.072004639999998332e+01,2.030687151391656009e+00,9.728267050259432835e+00,2.085295509039672535e+00
1.677617902145628250e+15,1.070004649999997959e+01,2.032353544817818936e+00,9.506001866007625978e+00,2.082909387614289010e+00
1.690953846202010000e+15,1.069004654999997861e+01,2.033890172870403745e+00,9.294197984024954451e+00,2.080361434677771459e+00
1.704289790258392000e+15,1.066714142255471565e+01,2.035311210995118358e+00,9.087966247277744714e+00,2.077557665982434187e+00
1.717625734314774000e+15,1.065004674999997469e+01,2.036645976017882553e+00,8.893250659071270547e+00,2.074635094561621873e+00
1.730961678371155750e+15,1.064004679999997371e+01,2.037844979948506552e+00,8.704677732553511404e+00,2.071525875492626234e+00
1.744297622427537750e+15,1.062004689999997176e+01,2.038931417360344778e+00,8.525087824064730313e+00,2.068274183868952676e+00
1.757633566483919750e+15,1.060004699999996980e+01,2.039937289870538795e+00,8.349558765043246567e+00,2.064810262809352093e+00
1.770969510540301500e+15,1.059004704999996882e+01,2.040837778384000600e+00,8.181751076338015238e+00,2.061218756972531096e+00
1.784305454596683500e+15,1.057004714999996509e+01,2.041635804852038216e+00,8.022060173289190743e+00,2.057522722752529454e+00
1.797641398653065500e+15,1.056004719999996411e+01,2.042341469324720382e+00,7.867401680669628306e+00,2.053673559231999235e+00
1.810977342709447250e+15,1.054004729999996215e+01,2.042973328000650124e+00,7.717657319775602431e+00,2.049677842699555441e+00
1.824313286765829250e+15,1.051881744202065505e+01,2.043506438536909275e+00,7.574179006605459286e+00,2.045566411122105244e+00
