rhoc,R,M,Lambda,I
3.814753020623115625e+14,1.490002550000044934e+01,9.092639803058379933e-01,1.174444344763580011e+04,1.100437367018754831e+00
3.913175084412060000e+14,1.487002565000044640e+01,9.426137399775730286e-01,9.718763114913432219e+03,1.153300705518113256e+00
4.011597148201005000e+14,1.485002575000044445e+01,9.758195443546379133e-01,8.087189610592934514e+03,1.206384845520835691e+00
4.110019211989950000e+14,1.482002590000044151e+01,1.008842644889691664e+00,6.765085606185821234e+03,1.259595985674907936e+00
4.208441275778894375e+14,1.480002600000043778e+01,1.041645367553954316e+00,5.688321765097547541e+03,1.312844261715372829e+00
4.306863339567839375e+14,1.478002610000043582e+01,1.074188687794118024e+00,4.806364073812977949e+03,1.366034940701228662e+00
4.405285403356783750e+14,1.476002620000043386e+01,1.106442513365705649e+00,4.080529463863484580e+03,1.419082000247958719e+00
4.503707467145728750e+14,1.473002635000043092e+01,1.138368208392364078e+00,3.480421916568080633e+03,1.471895681695401636e+00
4.602129530934673750e+14,1.471002645000042897e+01,1.169932994055337350e+00,2.981892642520570462e+03,1.524387354987937648e+00
4.700551594723618125e+14,1.469002655000042701e+01,1.201107004758462660e+00,2.565646826563463947e+03,1.576468534098383723e+00
4.798973658512562500e+14,1.467002665000042327e+01,1.231863650702796908e+00,2.216862161304797155e+03,1.628068835757900956e+00
4.897395722301507500e+14,1.465002675000042132e+01,1.262169215904129338e+00,1.923235124436530214e+03,1.679096051814120916e+00
4.995817786090452500e+14,1.463002685000041936e+01,1.291996579970333903e+00,1.675257980929395899e+03,1.729470060476477000e+00
5.094239849879396875e+14,1.461002695000041740e+01,1.321323793571212990e+00,1.464779525253421070e+03,1.779124040287724640e+00
5.192661913668341875e+14,1.458002710000041446e+01,1.350128266965731960e+00,1.285575615453909450e+03,1.827992164524620655e+00
5.291083977457286250e+14,1.456002720000041251e+01,1.378388877642370058e+00,1.132459416443012287e+03,1.876002854539025932e+00
5.389506041246231250e+14,1.454002730000040877e+01,1.406085520468518757e+00,1.001096317953574498e+03,1.923097882882200516e+00
5.487928105035176250e+14,1.452002740000040681e+01,1.433208352134274222e+00,8.880164762928245636e+02,1.969225637153898756e+00
5.586350168824120625e+14,1.450002750000040486e+01,1.459741588989034389e+00,7.903963620252197870e+02,2.014341744903998865e+00
5.684772232613065000e+14,1.447002765000040192e+01,1.485670355365492634e+00,7.057916139001517877e+02,2.058388174466827092e+00
5.783194296402010000e+14,1.445002775000039996e+01,1.510987964871740585e+00,6.322632877371941049e+02,2.101334202723532663e+00
5.881616360190955000e+14,1.443002785000039800e+01,1.535686910586745224e+00,5.681579497202935727e+02,2.143146538385549249e+00
5.980038423979900000e+14,1.440002800000039329e+01,1.559760083049015700e+00,5.120907455996043609e+02,2.183788316418708852e+00
6.078460487768845000e+14,1.438002810000039133e+01,1.583207485811537918e+00,4.628996311226299554e+02,2.223242137276427943e+00
6.176882551557788750e+14,1.436002820000038938e+01,1.606026168010697308e+00,4.196190277698645446e+02,2.261485679344230615e+00
6.275304615346733750e+14,1.433002835000038644e+01,1.628217140549983011e+00,3.814540229556399140e+02,2.298511043340147886e+00
6.373726679135678750e+14,1.431002845000038448e+01,1.649782934852268790e+00,3.476862792669460873e+02,2.334306945662090627e+00
6.472148742924622500e+14,1.428002860000037977e+01,1.670723629960383372e+00,3.177296750112068366e+02,2.368854605030652039e+00
6.570570806713567500e+14,1.426002870000037781e+01,1.691043666039918181e+00,2.911255419204734380e+02,2.402160862086719639e+00
6.668992870502512500e+14,1.423002885000037487e+01,1.710751361427728101e+00,2.673738872554170030e+02,2.434228682715291470e+00
6.767414934291457500e+14,1.421002895000037292e+01,1.729853036790943266e+00,2.461279764155714247e+02,2.465061864879490194e+00
6.865836998080402500e+14,1.418002910000036998e+01,1.748357050755955822e+00,2.271107446758705919e+02,2.494666470605069630e+00
6.964259061869347500e+14,1.415002925000036527e+01,1.766271023991967892e+00,2.100436029033277805e+02,2.523059916706820616e+00
7.062681125658292500e+14,1.413002935000036331e+01,1.783607379479241750e+00,1.946737604735560581e+02,2.550249660127712481e+00
7.161103189447236250e+14,1.410002950000036037e+01,1.800372664004642687e+00,1.808046336583709035e+02,2.576244485162557218e+00
7.259525253236181250e+14,1.408002960000035841e+01,1.816581341451659393e+00,1.682704053592628952e+02,2.601081275271229565e+00
7.357947317025125000e+14,1.405002975000035548e+01,1.832238004078704519e+00,1.569188474800752999e+02,2.624763494075911474e+00
7.456369380814070000e+14,1.402002990000035076e+01,1.847362950893952194e+00,1.466142094986899167e+02,2.647315280682077443e+00
7.554791444603015000e+14,1.400003000000034881e+01,1.861963223826013980e+00,1.372353115297953821e+02,2.668767765951806759e+00
7.653213508391960000e+14,1.397003015000034587e+01,1.876055182803221921e+00,1.286930298396268313e+02,2.689137615298806239e+00
7.751635572180905000e+14,1.395003025000034391e+01,1.889644164088837730e+00,1.209030648501507414e+02,2.708451894750804723e+00
7.850057635969850000e+14,1.392003040000034098e+01,1.902747764891159044e+00,1.137506321385669423e+02,2.726734284776634709e+00
7.948479699758793750e+14,1.389003055000033626e+01,1.915380838876497460e+00,1.072106191571392060e+02,2.744011227619619131e+00
8.046901763547738750e+14,1.387003065000033430e+01,1.927549313293890565e+00,1.012036579788115773e+02,2.760311261772129043e+00
8.145323827336683750e+14,1.384003080000033137e+01,1.939272043947126933e+00,9.568217861332341556e+01,2.775665320956734128e+00
8.243745891125628750e+14,1.382003090000032941e+01,1.950558623676487358e+00,9.059361994287016273e+01,2.790091424807920717e+00
8.342167954914572500e+14,1.379003105000032647e+01,1.961424975265000370e+00,8.590512227908280352e+01,2.803626877816149943e+00
8.440590018703517500e+14,1.376003120000032176e+01,1.971877532338589756e+00,8.156269422210687026e+01,2.816286684832371101e+00
8.539012082492462500e+14,1.374003130000031980e+01,1.981932606913685113e+00,7.754940323124947099e+01,2.828110635951477381e+00
8.637434146281407500e+14,1.371003145000031687e+01,1.991601589623616553e+00,7.382822897752633651e+01,2.839123455624594783e+00
8.735856210070352500e+14,1.369003155000031491e+01,2.000897315377580643e+00,7.037443620623501772e+01,2.849352010721306172e+00
8.834278273859296250e+14,1.366003170000031197e+01,2.009828610203023391e+00,6.716612662181425719e+01,2.858813727619417211e+00
8.932700337648241250e+14,1.363003185000030726e+01,2.018408794269249018e+00,6.417862200526815286e+01,2.867543203189883094e+00
9.031122401437186250e+14,1.361003195000030530e+01,2.026649485101375880e+00,6.139380426705762517e+01,2.875560231698080838e+00
