rhoc,R,M,Lambda,I
4.686262345648241250e+14,1.243003785000017380e+01,6.233649972379970983e-01,3.963189479991894041e+04,4.773867095292037011e-01
4.762708043949748750e+14,1.241003795000017185e+01,6.484388824007245589e-01,3.308252548209603992e+04,5.055250499659417196e-01
4.839153742251256250e+14,1.240003800000017087e+01,6.728215102850030327e-01,2.790449200367830417e+04,5.334148025663300041e-01
4.915599440552763750e+14,1.240003800000017087e+01,6.965055182494597208e-01,2.376441418105249249e+04,5.609843758501087407e-01
4.992045138854271250e+14,1.240003800000017087e+01,7.194822147144724900e-01,2.041708371984279074e+04,5.881576364353486852e-01
5.068490837155778750e+14,1.239003805000016989e+01,7.417580964566192758e-01,1.768319730552651890e+04,6.148840548783934823e-01
5.144936535457286250e+14,1.239003805000016989e+01,7.663289378239726002e-01,1.514654628556881835e+04,6.447836448831734124e-01
5.221382233758793750e+14,1.239003805000016989e+01,7.961098658874042888e-01,1.261597180353045405e+04,6.816334279591270695e-01
5.297827932060301250e+14,1.240003800000017087e+01,8.251070250210897905e-01,1.061212807881711160e+04,7.181808303991741305e-01
5.374273630361809375e+14,1.240003800000017087e+01,8.532947819466212280e-01,9.009819128848128457e+03,7.543353825148030323e-01
5.450719328663316875e+14,1.241003795000017185e+01,8.806527141751513410e-01,7.715596115276771343e+03,7.899996814216220242e-01
5.527165026964824375e+14,1.242003790000017283e+01,9.071842673524902478e-01,6.660947567082865135e+03,8.251159416527164003e-01
5.603610725266331875e+14,1.242003790000017283e+01,9.328908319195240439e-01,5.793331009149727834e+03,8.596149618621639066e-01
5.680056423567840000e+14,1.243003785000017380e+01,9.577806344147219431e-01,5.073863152028907280e+03,8.934474160850938151e-01
5.756502121869347500e+14,1.244003780000017478e+01,9.818733059929136697e-01,4.472401341027107264e+03,9.265824633324870607e-01
5.832947820170855000e+14,1.244003780000017478e+01,1.008581221208779466e+00,3.897840630856130701e+03,9.637361788233835824e-01
5.909393518472362500e+14,1.245003775000017576e+01,1.040089792729272489e+00,3.324320508527015591e+03,1.008170562912991786e+00
5.985839216773870000e+14,1.246003770000017674e+01,1.070642361091556305e+00,2.857798035782407624e+03,1.051906935900528861e+00
6.062284915075377500e+14,1.247003765000017772e+01,1.100227218025862985e+00,2.475251940755694704e+03,1.094861695171023497e+00
6.138730613376885000e+14,1.248003760000017870e+01,1.128857563675056852e+00,2.158986755438683758e+03,1.136989470898329246e+00
6.215176311678392500e+14,1.249003755000017968e+01,1.156541089032807612e+00,1.895764152809940242e+03,1.178234900824442599e+00
6.291622009979900000e+14,1.250003750000018243e+01,1.183297406811945063e+00,1.674905696354665906e+03,1.218558792795065182e+00
6.368067708281407500e+14,1.251003745000018341e+01,1.209139335704798146e+00,1.488316352725934394e+03,1.257910311160940875e+00
6.444513406582915000e+14,1.252003740000018439e+01,1.234105875520518758e+00,1.329614567324233803e+03,1.296304489338229171e+00
6.520959104884422500e+14,1.252003740000018439e+01,1.261630221496878423e+00,1.175824325114403109e+03,1.339021688355501283e+00
6.597404803185930000e+14,1.253003735000018537e+01,1.292834311103555844e+00,1.024669751921129773e+03,1.387989362312311181e+00
6.673850501487437500e+14,1.254003730000018635e+01,1.322960555371834879e+00,8.988109508132113206e+02,1.435831388064822800e+00
6.750296199788945000e+14,1.255003725000018733e+01,1.352025220337442768e+00,7.932797577032033587e+02,1.482508820760457313e+00
6.826741898090452500e+14,1.255003725000018733e+01,1.380038032673923221e+00,7.041823445652631790e+02,1.527956891908935688e+00
6.903187596391960000e+14,1.256003720000018831e+01,1.407056432476180730e+00,6.284803015737250007e+02,1.572232628892311412e+00
6.979633294693467500e+14,1.256003720000018831e+01,1.433087687094840801e+00,5.637963856840902963e+02,1.615268997540591611e+00
7.056078992994975000e+14,1.257003715000018929e+01,1.458172489912274772e+00,5.081863113434035313e+02,1.657080784714321187e+00
7.132524691296482500e+14,1.257003715000018929e+01,1.482333410615930935e+00,4.601271693817359392e+02,1.697644062831044742e+00
7.208970389597990000e+14,1.258003710000019026e+01,1.508259045619607441e+00,4.138619431002550755e+02,1.741485381418226730e+00
7.285416087899497500e+14,1.258003710000019026e+01,1.536313179362982506e+00,3.692802174985775991e+02,1.789295805228275249e+00
7.361861786201005000e+14,1.258003710000019026e+01,1.563294594571715379e+00,3.311922480674555800e+02,1.835654244311314853e+00
7.438307484502512500e+14,1.259003705000019124e+01,1.589233723796699804e+00,2.984617594144835380e+02,1.880555022732741444e+00
7.514753182804020000e+14,1.259003705000019124e+01,1.614183529672300388e+00,2.701493596084440014e+02,1.924052148912483329e+00
7.591198881105527500e+14,1.259003705000019124e+01,1.638159104523336573e+00,2.455771922585345806e+02,1.966107381768897877e+00
7.667644579407035000e+14,1.259003705000019124e+01,1.661212321055371532e+00,2.241235364627267472e+02,2.006772786708965306e+00
7.744090277708542500e+14,1.259003705000019124e+01,1.683376232070696865e+00,2.053182463430677558e+02,2.046066984152551615e+00
7.820535976010050000e+14,1.259003705000019124e+01,1.704680357350400577e+00,1.887429877761443322e+02,2.083993268884929417e+00
7.896981674311557500e+14,1.259003705000019124e+01,1.727246369743192123e+00,1.726826490838474513e+02,2.124354467426576409e+00
7.973427372613065000e+14,1.258003710000019026e+01,1.750983159831638325e+00,1.572550842178539199e+02,2.166965151889745034e+00
8.049873070914572500e+14,1.258003710000019026e+01,1.773769726121689150e+00,1.437632470845483112e+02,2.208066536127029966e+00
8.126318769216080000e+14,1.258003710000019026e+01,1.795625506730524235e+00,1.319091682987178160e+02,2.247629600377420545e+00
8.202764467517587500e+14,1.258003710000019026e+01,1.816607405844358425e+00,1.214488709671803264e+02,2.285748804516252175e+00
8.279210165819095000e+14,1.257003715000018929e+01,1.836734467320701780e+00,1.121848584178532207e+02,2.322405618281414341e+00
8.355655864120602500e+14,1.257003715000018929e+01,1.856057394426977147e+00,1.039382764758411213e+02,2.357678817465158172e+00
8.432101562422111250e+14,1.256003720000018831e+01,1.874631675528591890e+00,9.657715577821946340e+01,2.391675200738294649e+00
8.508547260723618750e+14,1.256003720000018831e+01,1.892453669900597157e+00,8.998879548531785133e+01,2.424317505926721683e+00
8.584992959025126250e+14,1.255003725000018733e+01,1.911224639394817126e+00,8.350914925361215069e+01,2.458713882284521812e+00
