rhoc,R,M,Lambda,I
2.240000000000000000e+14,2.000000000000101963e+01,9.911803354424525425e-02,1.926236830924186110e+08,4.444749448726393465e-02
2.379552221151758750e+14,2.000000000000101963e+01,1.092792448141168549e-01,1.024915863843943030e+08,4.705473150152243017e-02
2.519104442303517500e+14,2.000000000000101963e+01,1.209820684450124834e-01,5.515495510274244100e+07,5.117952466056877731e-02
2.658656663455276250e+14,2.000000000000101963e+01,1.342248633842383909e-01,3.061915598347504809e+07,5.680529050066284585e-02
2.798208884607035000e+14,1.904000480000091144e+01,1.490034276134993840e-01,1.773084600764308870e+07,6.389153380193432485e-02
2.937761105758793750e+14,1.720001400000070646e+01,1.652803466276090982e-01,1.066107189347951487e+07,7.238124366377603203e-02
3.077313326910552500e+14,1.590002050000056144e+01,1.830317424392839398e-01,6.581689631265867501e+06,8.226944794674884154e-02
3.216865548062311250e+14,1.495002525000045601e+01,2.022171300540250849e-01,4.151020684723634738e+06,9.357502512746117274e-02
3.356417769214070000e+14,1.423002885000037487e+01,2.227850820562597145e-01,2.668886894382022321e+06,1.063263879941088036e-01
3.495969990365828750e+14,1.369003155000031491e+01,2.447414899073368511e-01,1.744770133726118132e+06,1.205906928016894641e-01
3.635522211517587500e+14,1.327003365000026847e+01,2.679840714228713394e-01,1.160058826787352329e+06,1.363716200610933516e-01
3.775074432669346250e+14,1.294003530000023083e+01,2.924663707159695369e-01,7.834259163128213258e+05,1.536979379765726905e-01
3.914626653821105625e+14,1.268003660000020183e+01,3.181583744877820585e-01,5.368368979689413682e+05,1.726132446036808543e-01
4.054178874972864375e+14,1.248003760000017870e+01,3.449823089540543508e-01,3.730692743318786961e+05,1.931203768239569685e-01
4.193731096124623125e+14,1.231003845000016028e+01,3.728744245556837589e-01,2.627695434424006380e+05,2.152210390068390877e-01
4.333283317276381875e+14,1.219003905000014676e+01,4.017744828684828295e-01,1.874079976383018075e+05,2.389171347392361200e-01
4.472835538428140625e+14,1.208003960000013421e+01,4.315851338502525447e-01,1.353237220515585504e+05,2.641715117240529542e-01
4.612387759579899375e+14,1.200004000000012638e+01,4.622102541937057607e-01,9.888921272685800795e+04,2.909379029326105703e-01
4.751939980731658125e+14,1.194004030000011873e+01,4.936640271831839177e-01,7.302874622744298540e+04,3.192580666507292553e-01
4.891492201883416875e+14,1.189004055000011384e+01,5.257546888749777825e-01,5.453055932384986954e+04,3.489801759003691717e-01
5.031044423035175625e+14,1.186004070000011090e+01,5.585223575033800847e-01,4.110982443501740636e+04,3.801655903287495808e-01
5.170596644186934375e+14,1.183004085000010619e+01,5.917837801991714386e-01,3.130400951966295543e+04,4.126494134956380511e-01
5.310148865338693125e+14,1.181004095000010423e+01,6.255285855999368483e-01,2.405279888054867115e+04,4.464216055451312726e-01
5.449701086490451875e+14,1.179004105000010227e+01,6.596931705079953634e-01,1.863761603089731216e+04,4.814288412861806310e-01
5.589253307642211250e+14,1.178004110000010130e+01,6.941543849977060976e-01,1.456737056548601686e+04,5.175345545270169101e-01
5.728805528793970000e+14,1.177004115000010032e+01,7.288570381578118873e-01,1.147668323306060483e+04,5.546748459091227490e-01
5.868357749945728750e+14,1.177004115000010032e+01,7.637322345383220634e-01,9.111320582738997473e+03,5.927568968153442697e-01
6.007909971097487500e+14,1.177004115000010032e+01,7.987265021148736155e-01,7.286180395884406607e+03,6.317095927908344954e-01
6.147462192249246250e+14,1.177004115000010032e+01,8.337751824538304213e-01,5.866991639811262758e+03,6.714411846072491086e-01
