rhoc,R,M,Lambda,I
8.679260677390955000e+14,1.291003545000022790e+01,1.661245768021983427e+00,1.661174388812211760e+02,1.984438553622612345e+00
8.794247475201507500e+14,1.288003560000022496e+01,1.676953857172888362e+00,1.539108694782075588e+02,2.004409352889494844e+00
8.909234273012061250e+14,1.285003575000022025e+01,1.692114271834669115e+00,1.429222205475560372e+02,2.023474989271361935e+00
9.024221070822613750e+14,1.283003585000021829e+01,1.706765334660399924e+00,1.329815970574010464e+02,2.041687887359381115e+00
9.139207868633166250e+14,1.280003600000021535e+01,1.721363062699592161e+00,1.237314236247343047e+02,2.059667614557453064e+00
9.254194666443718750e+14,1.277003615000021242e+01,1.735284249163302928e+00,1.154494711486522078e+02,2.076595723524605308e+00
9.369181464254272500e+14,1.275003625000020868e+01,1.749027894425816188e+00,1.077784489531731680e+02,2.093114806630903324e+00
9.484168262064825000e+14,1.272003640000020575e+01,1.762421651845597959e+00,1.007302534489570007e+02,2.108977977582644936e+00
9.599155059875377500e+14,1.269003655000020281e+01,1.775200249584271583e+00,9.439892183649233459e+01,2.123899775163356374e+00
9.714141857685930000e+14,1.266003670000019987e+01,1.788014566342973621e+00,8.839957345408772937e+01,2.138673521407910005e+00
9.829128655496482500e+14,1.264003680000019791e+01,1.800308787761710549e+00,8.295862251627460182e+01,2.152601346998567422e+00
9.944115453307036250e+14,1.261003695000019320e+01,1.812076647278861863e+00,7.802153858035642031e+01,2.165711317656544121e+00
1.005910225111758875e+15,1.258003710000019026e+01,1.823907204238646163e+00,7.331487824353226301e+01,2.178675811217017255e+00
1.017408904892814125e+15,1.255003725000018733e+01,1.835190168735634897e+00,6.905086863000835251e+01,2.190819130048065499e+00
1.028907584673869375e+15,1.253003735000018537e+01,1.846042459909018829e+00,6.514309068889909327e+01,2.202261354574493346e+00
1.040406264454924750e+15,1.250003750000018243e+01,1.856877218519144002e+00,6.142596876055164046e+01,2.213424755926516330e+00
1.051904944235980000e+15,1.247003765000017772e+01,1.867225516996403600e+00,5.804159402019778469e+01,2.223879099406883331e+00
