rhoc,R,M,Lambda,I
5.549346733668341875e+14,1.314003430000025396e+01,1.302167531784316878e+00,1.292191327289686342e+03,1.571151921116350936e+00
5.706934673366835000e+14,1.317003415000025690e+01,1.346036379894039348e+00,1.080782320353526757e+03,1.650670221274547655e+00
5.864522613065327500e+14,1.320003400000025984e+01,1.387170756286730811e+00,9.149035086793273877e+02,1.725348264966655609e+00
6.022110552763818750e+14,1.321003395000026082e+01,1.425927348190398236e+00,7.820547717258384637e+02,1.795644481127362635e+00
6.179698492462311250e+14,1.323003385000026277e+01,1.462426384481723796e+00,6.746840172322708895e+02,1.861609619367606827e+00
6.337286432160803750e+14,1.324003380000026375e+01,1.496850656029653059e+00,5.866489416152537615e+02,1.923480125268671515e+00
6.494874371859296250e+14,1.324003380000026375e+01,1.529358457647795655e+00,5.137900161134725749e+02,1.981436429807036381e+00
6.652462311557788750e+14,1.324003380000026375e+01,1.560109250579959639e+00,4.528908179532179474e+02,2.035717810618398182e+00
6.810050251256281250e+14,1.324003380000026375e+01,1.589295885073504611e+00,4.014134428243099819e+02,2.086637383672879764e+00
6.967638190954773750e+14,1.324003380000026375e+01,1.617023300505403549e+00,3.575664090809921731e+02,2.134342361719130832e+00
7.125226130653266250e+14,1.323003385000026277e+01,1.643356885552642144e+00,3.200101013450287724e+02,2.178950951356176002e+00
7.282814070351758750e+14,1.322003390000026180e+01,1.668403752061612844e+00,2.876170281966774951e+02,2.220643814972665719e+00
7.440402010050251250e+14,1.321003395000026082e+01,1.692214338613750924e+00,2.595475836037479098e+02,2.259526875005761770e+00
7.597989949748743750e+14,1.319003405000025886e+01,1.714947100788197565e+00,2.350219244217674373e+02,2.295872857132638334e+00
7.755577889447236250e+14,1.318003410000025788e+01,1.736649933523528588e+00,2.134741356249366220e+02,2.329780368875033147e+00
7.913165829145728750e+14,1.316003420000025592e+01,1.757344240159571802e+00,1.945189127016173529e+02,2.361315220621341915e+00
8.070753768844221250e+14,1.314003430000025396e+01,1.777079605903248316e+00,1.777450429823747129e+02,2.390588846720461902e+00
8.228341708542713750e+14,1.312003440000025023e+01,1.795935490828565406e+00,1.628547399721464899e+02,2.417755161015603615e+00
8.385929648241206250e+14,1.310003450000024827e+01,1.813982754101425954e+00,1.495615511308408259e+02,2.442963842737245983e+00
8.543517587939698750e+14,1.308003460000024631e+01,1.831170456278729652e+00,1.377242594779094418e+02,2.466163334884452496e+00
8.701105527638191250e+14,1.305003475000024338e+01,1.847539479057500378e+00,1.271215243502766441e+02,2.487458639336315613e+00
8.858693467336683750e+14,1.303003485000024142e+01,1.863171675938084970e+00,1.175963540892883685e+02,2.507001248519019398e+00
9.016281407035176250e+14,1.300003500000023671e+01,1.878103121406883513e+00,1.090043101720015812e+02,2.524900194745587800e+00
9.173869346733668750e+14,1.297003515000023377e+01,1.892320247136856759e+00,1.012553444722814504e+02,2.541152364112202466e+00
9.331457286432161250e+14,1.294003530000023083e+01,1.905862542974587903e+00,9.425330056155577552e+01,2.555881372242011285e+00
9.489045226130653750e+14,1.292003540000022888e+01,1.918782146557641788e+00,8.789967818255115617e+01,2.569165519448405988e+00
9.646633165829146250e+14,1.289003555000022594e+01,1.931049557866899136e+00,8.213382937014830532e+01,2.581024833137391727e+00
9.804221105527637500e+14,1.286003570000022123e+01,1.942687527027696648e+00,7.690688385677782435e+01,2.591534479205907182e+00
9.961809045226130000e+14,1.283003585000021829e+01,1.953752909670656956e+00,7.214067700192353527e+01,2.600810736255664946e+00
1.011939698492462250e+15,1.280003600000021535e+01,1.964203452821483342e+00,6.780335300316750136e+01,2.608812751732687119e+00
1.027698492462311500e+15,1.277003615000021242e+01,1.974070984913525617e+00,6.385864005499537654e+01,2.615659443188762534e+00
1.043457286432160750e+15,1.274003630000020770e+01,1.983383814558845382e+00,6.025241379790552543e+01,2.621405010589008988e+00
1.059216080402010000e+15,1.271003645000020477e+01,1.992158009476007408e+00,5.695951562198801099e+01,2.626146998548036127e+00
1.074974874371859250e+15,1.268003660000020183e+01,2.000380426999610606e+00,5.396722081507372337e+01,2.629861863015996448e+00
1.090733668341708500e+15,1.265003675000019889e+01,2.008085168523716213e+00,5.122103216790556246e+01,2.632655386598508951e+00
1.106492462311557750e+15,1.262003690000019418e+01,2.015292445114920561e+00,4.870509544907919519e+01,2.634586377556682013e+00
1.122251256281407000e+15,1.259003705000019124e+01,2.022013700893729116e+00,4.640734805075837954e+01,2.635710557678837773e+00
1.138010050251256250e+15,1.256003720000018831e+01,2.028260441062107233e+00,4.430186094977609912e+01,2.636057059853426754e+00
1.153768844221105500e+15,1.253003735000018537e+01,2.034067467485983549e+00,4.236801486648897708e+01,2.635715120926763078e+00
1.169527638190954750e+15,1.250003750000018243e+01,2.039444445180197629e+00,4.059995183299032817e+01,2.634724536629598823e+00
1.185286432160804000e+15,1.247003765000017772e+01,2.044413606554701612e+00,3.896601697137761988e+01,2.633141997656555766e+00
1.201045226130653250e+15,1.245003775000017576e+01,2.048997367847360085e+00,3.746228269337853334e+01,2.631007964957485790e+00
1.216804020100502500e+15,1.242003790000017283e+01,2.053203790468406620e+00,3.608147660150991243e+01,2.628336480781857887e+00
1.232562814070351750e+15,1.239003805000016989e+01,2.057070754187843242e+00,3.480356654918930559e+01,2.625232911607436215e+00
1.248321608040201000e+15,1.237003815000016793e+01,2.060604392775672533e+00,3.362313173251520482e+01,2.621701311786547972e+00
1.264080402010050250e+15,1.234003830000016322e+01,2.063826844839299124e+00,3.253266472133033460e+01,2.617785091711916756e+00
