rhoc,R,M,Lambda,I
4.669743312430150625e+14,1.419002905000037096e+01,6.511287386501700691e-01,6.389988420654740912e+04,6.210308301747972104e-01
4.775384326014070000e+14,1.414002930000036429e+01,6.827094969350538944e-01,5.070848207256833120e+04,6.633719599928490362e-01
4.881025339597990000e+14,1.411002945000036135e+01,7.148511554828492764e-01,4.044986763693263492e+04,7.073782201646182655e-01
4.986666353181909375e+14,1.408002960000035841e+01,7.475213196981552732e-01,3.243007410892748885e+04,7.530320460192818643e-01
5.092307366765828750e+14,1.406002970000035646e+01,7.808223051840319506e-01,2.610479211796271557e+04,8.005008750674705853e-01
5.197948380349748750e+14,1.404002980000035450e+01,8.145194512468859616e-01,2.111897939599960591e+04,8.494665532022142029e-01
5.303589393933668125e+14,1.403002985000035174e+01,8.485470556126467612e-01,1.717516178641958686e+04,8.998441095954389235e-01
5.409230407517587500e+14,1.402002990000035076e+01,8.828359965815506527e-01,1.403736879007664720e+04,9.515289138472317054e-01
5.514871421101507500e+14,1.401002995000034979e+01,9.174790384514841524e-01,1.152111350568544913e+04,1.004661180338582316e+00
5.620512434685426875e+14,1.400003000000034881e+01,9.523608359773406695e-01,9.498629059021568537e+03,1.059072304785975138e+00
5.726153448269346250e+14,1.400003000000034881e+01,9.872998409995170643e-01,7.870972917304269686e+03,1.114461184814227845e+00
5.831794461853266250e+14,1.400003000000034881e+01,1.022405910043902244e+00,6.548946079231691328e+03,1.170986934222995046e+00
5.937435475437185000e+14,1.399003005000034783e+01,1.057557241820071381e+00,5.473132483213234082e+03,1.228445575292695269e+00
6.043076489021105000e+14,1.399003005000034783e+01,1.092625749619708486e+00,4.595460192308363730e+03,1.286600608564233639e+00
6.148717502605025000e+14,1.399003005000034783e+01,1.127756593908493477e+00,3.875411630010394219e+03,1.345700789342674897e+00
6.254358516188945000e+14,1.399003005000034783e+01,1.162615818951279412e+00,3.279665379016098996e+03,1.405060170931809571e+00
6.359999529772863750e+14,1.399003005000034783e+01,1.197420158455304806e+00,2.786034244907626999e+03,1.465067928980416267e+00
6.465640543356783750e+14,1.399003005000034783e+01,1.231961398254605822e+00,2.379307986577762676e+03,1.525422645423512913e+00
6.571281556940702500e+14,1.400003000000034881e+01,1.266307396616787928e+00,2.038262326530761584e+03,1.586096083126100176e+00
6.676922570524622500e+14,1.400003000000034881e+01,1.300305327732605098e+00,1.754030680129826123e+03,1.646819809072616048e+00
6.782563584108542500e+14,1.400003000000034881e+01,1.333949967207694431e+00,1.514345568196016302e+03,1.707511408054529278e+00
6.888204597692462500e+14,1.400003000000034881e+01,1.367281790072178760e+00,1.312453531464778735e+03,1.768259567670621868e+00
6.993845611276381250e+14,1.400003000000034881e+01,1.400112340780481412e+00,1.141738106550021257e+03,1.828574933214580200e+00
7.099486624860301250e+14,1.399003005000034783e+01,1.432559242758104423e+00,9.966172901973591252e+02,1.888764811800281995e+00
7.205127638444220000e+14,1.399003005000034783e+01,1.464518898292364035e+00,8.728798697813647323e+02,1.948468185944616016e+00
7.310768652028140000e+14,1.399003005000034783e+01,1.495961654627935067e+00,7.672024270391759728e+02,2.007648289272415454e+00
7.416409665612060000e+14,1.399003005000034783e+01,1.526909497336672139e+00,6.767411219640648596e+02,2.066368503571175186e+00
7.522050679195980000e+14,1.398003010000034685e+01,1.557327053299606190e+00,5.988842331033183655e+02,2.124409263275663928e+00
7.627691692779900000e+14,1.398003010000034685e+01,1.587177406546510072e+00,5.312693259902353020e+02,2.181676657003883690e+00
7.733332706363818750e+14,1.397003015000034587e+01,1.616430834556667806e+00,4.729688510960806980e+02,2.238087621596284826e+00
7.838973719947737500e+14,1.397003015000034587e+01,1.645123312061456788e+00,4.223109513790164442e+02,2.293728444566152103e+00
7.944614733531657500e+14,1.396003020000034489e+01,1.673180574142980825e+00,3.781617642555895600e+02,2.348305407925003863e+00
8.050255747115577500e+14,1.396003020000034489e+01,1.700666459984872647e+00,3.396770122068620594e+02,2.402016892765393763e+00
8.155896760699497500e+14,1.395003025000034391e+01,1.727538824414243779e+00,3.057996247034309363e+02,2.454665489071314433e+00
8.261537774283416250e+14,1.395003025000034391e+01,1.733288231621003428e+00,2.990005412103936351e+02,2.465920869540255911e+00
8.367178787867336250e+14,1.395003025000034391e+01,1.736785043796222228e+00,2.949540444423120107e+02,2.472757293718019334e+00
8.472819801451256250e+14,1.394003030000034293e+01,1.740123020942694110e+00,2.910941194638527350e+02,2.479254266675333440e+00
8.578460815035175000e+14,1.394003030000034293e+01,1.745686761434082968e+00,2.847413432484156601e+02,2.489955612973889121e+00
8.684101828619095000e+14,1.394003030000034293e+01,1.758448783480028865e+00,2.706396549672369929e+02,2.514210472263512131e+00
8.789742842203015000e+14,1.393003035000034195e+01,1.770869117462964271e+00,2.573544204581397139e+02,2.537422040440796334e+00
8.895383855786933750e+14,1.392003040000034098e+01,1.782919815485189075e+00,2.449716639611109485e+02,2.559613255348202276e+00
9.001024869370853750e+14,1.391003045000034000e+01,1.794532523949056158e+00,2.334394914011924413e+02,2.580648337388945723e+00
9.106665882954773750e+14,1.390003050000033724e+01,1.805682275018992033e+00,2.227790833938812511e+02,2.600527758145563695e+00
