rhoc,R,M,Lambda,I
5.108465698267336875e+14,1.249003755000017968e+01,8.396269746178718352e-01,7.555498758304594958e+03,7.542619024692152063e-01
5.245059302946733750e+14,1.251003745000018341e+01,8.856844659864182567e-01,5.816028026728346049e+03,8.151786203352210380e-01
5.381652907626130625e+14,1.252003740000018439e+01,9.316485981177243803e-01,4.524356315340720357e+03,8.773830294804646490e-01
5.518246512305527500e+14,1.253003735000018537e+01,9.773709916099060369e-01,3.554692479907836969e+03,9.405777659630230048e-01
5.654840116984925000e+14,1.255003725000018733e+01,1.022747184709348778e+00,2.819154510370188746e+03,1.004545154592427991e+00
5.791433721664322500e+14,1.256003720000018831e+01,1.067649365140625806e+00,2.256391833400369251e+03,1.069011245463345139e+00
5.928027326343718750e+14,1.258003710000019026e+01,1.111963830033623868e+00,1.821717206864755099e+03,1.133717268150548296e+00
6.064620931023115000e+14,1.259003705000019124e+01,1.155662003089887424e+00,1.482546994727366155e+03,1.198529988014656933e+00
6.201214535702512500e+14,1.260003700000019222e+01,1.198706610979460185e+00,1.215708472091246449e+03,1.263295966362419698e+00
6.337808140381910000e+14,1.261003695000019320e+01,1.240872871567832991e+00,1.004650059690477519e+03,1.327572477535642337e+00
6.474401745061307500e+14,1.262003690000019418e+01,1.282238777796999463e+00,8.359223607025576257e+02,1.391374395940018882e+00
6.610995349740703750e+14,1.262003690000019418e+01,1.322701138245960140e+00,7.002639028808152943e+02,1.454466283253808001e+00
6.747588954420100000e+14,1.263003685000019694e+01,1.362207341582798659e+00,5.905156182684945634e+02,1.516653330763936935e+00
6.884182559099497500e+14,1.263003685000019694e+01,1.400733809136040398e+00,5.009717175520639216e+02,1.577820419178086020e+00
7.020776163778895000e+14,1.263003685000019694e+01,1.438282599184285138e+00,4.274710068076416292e+02,1.637866794149042127e+00
7.157369768458292500e+14,1.263003685000019694e+01,1.474700915925966749e+00,3.669293105868498515e+02,1.696479086105582512e+00
7.293963373137688750e+14,1.263003685000019694e+01,1.510201019807586142e+00,3.165064872427280989e+02,1.753914505666566814e+00
7.430556977817085000e+14,1.262003690000019418e+01,1.544601429268038562e+00,2.744719565008081190e+02,1.809817239228368235e+00
7.567150582496482500e+14,1.262003690000019418e+01,1.577869281493567089e+00,2.392303771761871758e+02,1.864030715785966796e+00
7.703744187175880000e+14,1.261003695000019320e+01,1.610084669783376610e+00,2.095000643364412838e+02,1.916660640110573688e+00
7.840337791855277500e+14,1.260003700000019222e+01,1.641312191806893583e+00,1.842253632308302542e+02,1.967744465074110938e+00
7.976931396534673750e+14,1.259003705000019124e+01,1.671450259484970946e+00,1.627217536974146128e+02,2.017047623399093492e+00
8.113525001214071250e+14,1.258003710000019026e+01,1.700520934864282685e+00,1.443303074079255452e+02,2.064570790953546009e+00
8.250118605893467500e+14,1.257003715000018929e+01,1.728546776763512982e+00,1.285358211631637744e+02,2.110305064633165362e+00
8.386712210572865000e+14,1.255003725000018733e+01,1.755555768091841218e+00,1.149003572041999348e+02,2.154267502900870657e+00
8.523305815252261250e+14,1.254003730000018635e+01,1.781553416930637290e+00,1.030845496882866996e+02,2.196415250233227923e+00
8.659899419931658750e+14,1.252003740000018439e+01,1.806561865079060025e+00,9.280296226408000848e+01,2.236750679888348969e+00
8.796493024611055000e+14,1.250003750000018243e+01,1.830626528179364776e+00,8.382459688687853827e+01,2.275365289112759370e+00
8.933086629290452500e+14,1.249003755000017968e+01,1.853732987689971745e+00,7.595772125622667659e+01,2.312158133496060586e+00
9.069680233969850000e+14,1.247003765000017772e+01,1.875944219571589411e+00,6.903928910131890007e+01,2.347272807670207406e+00
9.206273838649246250e+14,1.245003775000017576e+01,1.897242427416344857e+00,6.293363430038980511e+01,2.380609572263189921e+00
9.342867443328643750e+14,1.243003785000017380e+01,1.917665027381498577e+00,5.753461367532930382e+01,2.412247592093016646e+00
9.479461048008040000e+14,1.241003795000017185e+01,1.937234658010391186e+00,5.274132519709154110e+01,2.442210225550137004e+00
9.616054652687437500e+14,1.239003805000016989e+01,1.955984227642858508e+00,4.847488698936000162e+01,2.470573913650194520e+00
9.752648257366835000e+14,1.236003820000016518e+01,1.973906804832447515e+00,4.467279234137915012e+01,2.497272809430677754e+00
9.889241862046231250e+14,1.234003830000016322e+01,1.991084435136655895e+00,4.125346486606407836e+01,2.522465657898282920e+00
1.002583546672562875e+15,1.232003840000016126e+01,2.007548959472371219e+00,3.818214954313490495e+01,2.546184723783616377e+00
1.016242907140502500e+15,1.229003855000015832e+01,2.023266962479078668e+00,3.541853865191859541e+01,2.568395241533154572e+00
1.029902267608442250e+15,1.227003865000015637e+01,2.038267343519093000e+00,3.293029400389832517e+01,2.589161396497288603e+00
1.043561628076382000e+15,1.225003875000015441e+01,2.052566126131115887e+00,3.068393818190403977e+01,2.608518442733067211e+00
1.057220988544321625e+15,1.222003890000014970e+01,2.066279978526413430e+00,2.863694430474408037e+01,2.626611532833717622e+00
1.070880349012261375e+15,1.220003900000014774e+01,2.079350617555584702e+00,2.677795843906461215e+01,2.643374897868191464e+00
1.084539709480201000e+15,1.217003915000014480e+01,2.091782943746712142e+00,2.508918814250516505e+01,2.658856632431690681e+00
1.098199069948140750e+15,1.215003925000014284e+01,2.103604616232993330e+00,2.355199355546300310e+01,2.673065573999840350e+00
1.111858430416080500e+15,1.212003940000013991e+01,2.114961489263062155e+00,2.213627730746243927e+01,2.686286432869761764e+00
1.125517790884020125e+15,1.209003955000013519e+01,2.125705032293548680e+00,2.084395180879843679e+01,2.698244981166892487e+00
1.139177151351960000e+15,1.207003965000013324e+01,2.135887450800111775e+00,1.966259431446375672e+01,2.709066689174392639e+00
1.152836511819899500e+15,1.204003980000013030e+01,2.145665609408340835e+00,1.856705477269822779e+01,2.718988088893589783e+00
1.166495872287839250e+15,1.201003995000012736e+01,2.154891698038798431e+00,1.756369267117083410e+01,2.727803989375675364e+00
1.180155232755779000e+15,1.199004005000012540e+01,2.163648688952728438e+00,1.663792147769357399e+01,2.735672019411266920e+00
1.193814593223718500e+15,1.196004020000012069e+01,2.172000034232829169e+00,1.577903882617893672e+01,2.742636227015091688e+00
1.207473953691658500e+15,1.193004035000011775e+01,2.179853547502771605e+00,1.498728030234915209e+01,2.748635320847313768e+00
1.221133314159598000e+15,1.191004045000011580e+01,2.187347715256380720e+00,1.424971240274508943e+01,2.753858981957561625e+00
1.234792674627537750e+15,1.188004060000011286e+01,2.194417685692377162e+00,1.356570925078523615e+01,2.758214611241830205e+00
1.248452035095477500e+15,1.185004075000010815e+01,2.201090676207467567e+00,1.293267114388513228e+01,2.761822348649265901e+00
1.262111395563417000e+15,1.183004085000010619e+01,2.207419270791973975e+00,1.233860115651228284e+01,2.764624065954355725e+00
1.275770756031357000e+15,1.180004100000010325e+01,2.213350955984604074e+00,1.179058569653579447e+01,2.766745028063091194e+00
1.289430116499296500e+15,1.177004115000010032e+01,2.218989987166398947e+00,1.127217051090126354e+01,2.768158861440267682e+00
1.303089476967236250e+15,1.174004130000009738e+01,2.224254146082830452e+00,1.079231242425301573e+01,2.768899631704345055e+00
1.316748837435176000e+15,1.172004140000009365e+01,2.229220614350819751e+00,1.034105870003100947e+01,2.769006390715677668e+00
1.330408197903115500e+15,1.169004155000009071e+01,2.233876736133717511e+00,9.918297735806220317e+00,2.768527090042056216e+00
1.344067558371055500e+15,1.166004170000008777e+01,2.238233956314168438e+00,9.522956198431998587e+00,2.767464585454193049e+00
1.357726918838995000e+15,1.164004180000008581e+01,2.242312437284861737e+00,9.149629643741896246e+00,2.765829138413599342e+00
1.371386279306934750e+15,1.161004195000008288e+01,2.246106414998648049e+00,8.801588763596798870e+00,2.763695465679893548e+00
1.385045639774874500e+15,1.158004210000007816e+01,2.249664776228570862e+00,8.470504466446497460e+00,2.761063369433488290e+00
1.398705000242814250e+15,1.155004225000007523e+01,2.252919417907405908e+00,8.161176898792408707e+00,2.757881819439492066e+00
