rhoc,R,M,Lambda,I
3.772897463102512500e+14,1.278003610000021339e+01,4.973202048914472928e-01,9.338806816097590490e+04,3.651425329630257344e-01
3.863067902108542500e+14,1.275003625000020868e+01,5.277857374899136422e-01,7.191682597643669578e+04,3.986772200638640795e-01
3.953238341114573125e+14,1.273003635000020672e+01,5.585497168788552402e-01,5.595584979948422551e+04,4.334792013830130464e-01
4.043408780120603125e+14,1.272003640000020575e+01,5.894749993605720162e-01,4.399376646984642139e+04,4.693729197855429636e-01
4.133579219126633125e+14,1.271003645000020477e+01,6.205023952930400766e-01,3.493151361512726726e+04,5.062720760748550264e-01
4.223749658132663750e+14,1.271003645000020477e+01,6.516255537477027016e-01,2.797549463013844070e+04,5.441326009118240270e-01
4.313920097138693750e+14,1.272003640000020575e+01,6.827349341537367611e-01,2.259941725186206531e+04,5.827890502069850154e-01
4.404090536144723750e+14,1.272003640000020575e+01,7.137843341966331190e-01,1.840574550389236538e+04,6.221609263853733474e-01
4.494260975150753750e+14,1.273003635000020672e+01,7.447599539135177915e-01,1.510128307040181971e+04,6.621797982644567204e-01
4.584431414156783750e+14,1.274003630000020770e+01,7.755909424733365976e-01,1.247831957037302709e+04,7.027226952582470432e-01
4.674601853162814375e+14,1.275003625000020868e+01,8.062267896050578919e-01,1.038266907465157237e+04,7.436874076274287981e-01
4.764772292168844375e+14,1.276003620000021144e+01,8.366663799877834817e-01,8.693694269068870199e+03,7.850247863477449739e-01
4.854942731174874375e+14,1.277003615000021242e+01,8.668536168008103004e-01,7.323424478527191241e+03,8.266206714868011840e-01
4.945113170180905000e+14,1.278003610000021339e+01,8.967397927568793170e-01,6.205218551074878633e+03,8.683655563775120045e-01
5.035283609186935000e+14,1.279003605000021437e+01,9.263382952571027618e-01,5.285725564457430664e+03,9.102394589335683905e-01
5.125454048192965000e+14,1.281003595000021633e+01,9.556047200743299497e-01,4.526507412569936605e+03,9.521362378421376338e-01
5.215624487198995000e+14,1.282003590000021731e+01,9.845001469104786018e-01,3.895705392945171297e+03,9.939615301881118414e-01
5.305794926205025000e+14,1.283003585000021829e+01,1.013035160507822718e+00,3.368397849033652619e+03,1.035694015386742883e+00
5.395965365211055625e+14,1.284003580000021927e+01,1.041182101552875494e+00,2.925124956301326165e+03,1.077248585606538134e+00
5.486135804217085625e+14,1.285003575000022025e+01,1.068915938514036323e+00,2.551898474537330912e+03,1.118565059194886357e+00
5.576306243223115625e+14,1.285003575000022025e+01,1.096231406557629295e+00,2.234844033685625618e+03,1.159581152841151708e+00
5.666476682229146250e+14,1.286003570000022123e+01,1.123123861577629334e+00,1.964991017527190024e+03,1.200265256949964776e+00
5.756647121235176250e+14,1.287003565000022220e+01,1.149573261031604510e+00,1.734103868383905365e+03,1.240561217631059865e+00
5.846817560241206250e+14,1.287003565000022220e+01,1.175573782038264348e+00,1.535931687626259190e+03,1.280416112324542777e+00
