rhoc,R,M,Lambda,I
2.240000000000000000e+14,2.000000000000101963e+01,9.122553016677402427e-02,2.940443738766850233e+08,4.201811575357355250e-02
2.365360484020100625e+14,2.000000000000101963e+01,9.836505298188354118e-02,1.717728297443444133e+08,4.266610273777618478e-02
2.490720968040200938e+14,2.000000000000101963e+01,1.068166505638140779e-01,9.865685348156429827e+07,4.448359415088441043e-02
2.616081452060301562e+14,2.000000000000101963e+01,1.164767636826211650e-01,5.718352635290918499e+07,4.745650533179343600e-02
2.741441936080401875e+14,2.000000000000101963e+01,1.271834272271451516e-01,3.422731851872906089e+07,5.148966399382981507e-02
2.866802420100502500e+14,1.887000565000089480e+01,1.395540113270803961e-01,2.079437946533426642e+07,5.679702818709603945e-02
2.992162904120603125e+14,1.713001435000069961e+01,1.530301799131581486e-01,1.309836514087507129e+07,6.312946154007639810e-02
3.117523388140703750e+14,1.590002050000056144e+01,1.672289125339604388e-01,8.551215679284606129e+06,7.027661022513945199e-02
3.242883872160803750e+14,1.492002540000045130e+01,1.835050719846617884e-01,5.540145671995876357e+06,7.896222239052450020e-02
3.368244356180904375e+14,1.420002900000037194e+01,2.002418664743246257e-01,3.712851841558322776e+06,8.837134872351530557e-02
3.493604840201005000e+14,1.363003185000030726e+01,2.183981849147852150e-01,2.506564019899520092e+06,9.907051349647544303e-02
3.618965324221105625e+14,1.318003410000025788e+01,2.375663392726345413e-01,1.718215734532466391e+06,1.108712736494417012e-01
3.744325808241206250e+14,1.283003585000021829e+01,2.576914172016964710e-01,1.195142833222698886e+06,1.237840549074963187e-01
3.869686292261306250e+14,1.255003725000018733e+01,2.791537310141328776e-01,8.370455494804639602e+05,1.381035009823663173e-01
3.995046776281407500e+14,1.232003840000016126e+01,3.013873440485096977e-01,5.953570401292070746e+05,1.535093090065232646e-01
4.120407260301507500e+14,1.214003930000014186e+01,3.248278256018649057e-01,4.266364941514144884e+05,1.703420665010369761e-01
4.245767744321608125e+14,1.199004005000012540e+01,3.492518746462322521e-01,3.088585414090446429e+05,1.885035186665448004e-01
4.371128228341708750e+14,1.187004065000011188e+01,3.741415300451338410e-01,2.270702952885899285e+05,2.076312180725481127e-01
4.496488712361808750e+14,1.177004115000010032e+01,4.007537818208213309e-01,1.668466322715366841e+05,2.287500099370887163e-01
4.621849196381910000e+14,1.170004150000009169e+01,4.264339326252636342e-01,1.261282768819162884e+05,2.497571680757453838e-01
4.747209680402010000e+14,1.164004180000008581e+01,4.555174864596808759e-01,9.355672981037649151e+04,2.742598945667111821e-01
4.872570164422110625e+14,1.159004205000007914e+01,4.836217895586396587e-01,7.123448428276827326e+04,2.986439743977372108e-01
4.997930648442211250e+14,1.155004225000007523e+01,5.129071054432062793e-01,5.440941253783628053e+04,3.247488520678717960e-01
5.123291132462311875e+14,1.153004235000007327e+01,5.434225158701639913e-01,4.167648151121822593e+04,3.526976611323206501e-01
5.248651616482412500e+14,1.151004245000007131e+01,5.727756705491517941e-01,3.264138199036576043e+04,3.802768357824698464e-01
