rhoc,R,M,Lambda,I
1.438817833562814000e+15,1.215003925000014284e+01,2.025115555512488452e+00,2.337744579561891811e+01,2.365128344630884616e+00
1.448020998968593000e+15,1.213003935000014089e+01,2.025865641720661081e+00,2.297929053992121595e+01,2.360269705205159330e+00
1.457224164374371750e+15,1.210956236931385988e+01,2.026567026031198093e+00,2.259034574467990097e+01,2.355350568990267401e+00
1.466427329780150750e+15,1.210003950000013617e+01,2.027217241132546643e+00,2.221622974054399791e+01,2.350378864345080476e+00
1.475630495185929750e+15,1.208003960000013421e+01,2.027812056159942422e+00,2.185761586060390727e+01,2.345451550506389093e+00
1.484833660591708500e+15,1.206003970000013226e+01,2.028340240725488464e+00,2.152171134995045776e+01,2.340671343725858389e+00
1.494036825997487500e+15,1.204003980000013030e+01,2.028819343421181642e+00,2.120230881099878317e+01,2.335945051248059734e+00
1.503239991403266250e+15,1.203003985000012932e+01,2.029249322423426261e+00,2.089309027591219348e+01,2.331234275902497988e+00
1.512443156809045250e+15,1.201003995000012736e+01,2.029642067358539137e+00,2.059647849395472008e+01,2.326545878095714226e+00
1.521646322214824250e+15,1.200004000000012638e+01,2.029986487214688662e+00,2.031056071794508711e+01,2.321845344704318137e+00
1.530849487620603000e+15,1.198004010000012265e+01,2.030295540643417773e+00,2.003315948390905987e+01,2.317153440369758677e+00
1.540052653026382000e+15,1.197004015000012167e+01,2.030563983216312707e+00,1.976410752481533351e+01,2.312446975067441013e+00
1.549255818432160750e+15,1.195004025000011971e+01,2.030795042505157522e+00,1.950300973871368626e+01,2.307730561762754817e+00
1.558458983837939750e+15,1.194004030000011873e+01,2.030992752995903761e+00,1.925090203730016469e+01,2.303008126513727216e+00
1.567662149243718500e+15,1.192004040000011678e+01,2.031152109829535313e+00,1.900549883325903977e+01,2.298270838243505754e+00
1.576865314649497500e+15,1.191004045000011580e+01,2.031278459676535864e+00,1.876678198569022982e+01,2.293524495015925257e+00
1.586068480055276500e+15,1.189004055000011384e+01,2.031370742167423415e+00,1.853541825758581751e+01,2.288760488149270245e+00
1.595271645461055250e+15,1.188004060000011286e+01,2.031430981962331739e+00,1.830933916384572058e+01,2.283989200557078547e+00
1.604474810866834250e+15,1.186004070000011090e+01,2.031458463518676982e+00,1.808952082888345103e+01,2.279193224043883248e+00
1.613677976272613000e+15,1.185004075000010815e+01,2.031455947625372183e+00,1.787617876259542982e+01,2.274388459015725505e+00
1.622881141678392000e+15,1.183004085000010619e+01,2.031420191155349997e+00,1.766672509078039610e+01,2.269567382334480410e+00
1.632084307084170750e+15,1.182004090000010521e+01,2.031358411559755162e+00,1.746535076729803038e+01,2.264737786412980736e+00
1.641287472489949750e+15,1.181004095000010423e+01,2.031266713026997905e+00,1.726682632026345843e+01,2.259886696679033413e+00
1.650490637895728750e+15,1.179004105000010227e+01,2.031146620056811347e+00,1.707377000804414280e+01,2.255026234571127386e+00
1.659693803301507500e+15,1.178004110000010130e+01,2.030997304879663012e+00,1.688671812280120932e+01,2.250150107084433859e+00
1.668896968707286500e+15,1.176004120000009934e+01,2.030821614786870288e+00,1.670381224730681780e+01,2.245260919794503263e+00
1.678100134113065250e+15,1.175004125000009836e+01,2.030620403901267856e+00,1.652395967867200710e+01,2.240356087557298093e+00
1.687303299518844250e+15,1.174004130000009738e+01,2.030391720531937505e+00,1.634877251290296130e+01,2.235440566508721361e+00
1.696506464924623000e+15,1.172004140000009365e+01,2.030138594213190206e+00,1.617850166970924874e+01,2.230512923960798144e+00
1.705709630330402000e+15,1.171004145000009267e+01,2.029860089250646205e+00,1.601142043536262349e+01,2.225575746181710723e+00
1.714912795736181000e+15,1.170004150000009169e+01,2.029557700209903448e+00,1.584826545517591612e+01,2.220623353304903347e+00
1.724115961141959750e+15,1.168004160000008973e+01,2.029231659529225240e+00,1.568946599658852570e+01,2.215662201026488365e+00
1.733319126547738750e+15,1.167004165000008875e+01,2.028882581650136796e+00,1.553314050941325242e+01,2.210688243669837849e+00
1.742522291953517500e+15,1.166004170000008777e+01,2.028510423700802701e+00,1.538074823472632069e+01,2.205705200357376050e+00
1.751725457359296500e+15,1.164004180000008581e+01,2.028115512697564959e+00,1.523253894238822070e+01,2.200709367359427571e+00
1.760928622765075500e+15,1.163004185000008484e+01,2.027700827146009299e+00,1.508679361883479331e+01,2.195707321021916680e+00
1.770131788170854250e+15,1.162004190000008386e+01,2.027262562691288572e+00,1.494395856903605235e+01,2.190697605214887655e+00
1.779334953576633250e+15,1.161004195000008288e+01,2.026805955979710028e+00,1.480515433893174482e+01,2.185683069958842317e+00
1.788538118982412000e+15,1.159004205000007914e+01,2.026329371451617511e+00,1.466898118824762065e+01,2.180664391833584848e+00
1.797741284388191000e+15,1.158004210000007816e+01,2.025833061436608240e+00,1.453468045638912187e+01,2.175634758674410474e+00
1.806944449793969750e+15,1.157004215000007719e+01,2.025316472576396798e+00,1.440480728626015861e+01,2.170609083887907520e+00
1.816147615199748750e+15,1.155004225000007523e+01,2.024782447767969007e+00,1.427666584788126336e+01,2.165572874213688603e+00
1.825350780605527750e+15,1.154004230000007425e+01,2.024228911404339470e+00,1.415118052347298061e+01,2.160533781253138219e+00
1.834553946011306500e+15,1.153004235000007327e+01,2.023656719458634345e+00,1.402927402088354114e+01,2.155497109012251222e+00
1.843757111417085500e+15,1.152004240000007229e+01,2.023070977715736518e+00,1.390881194428085266e+01,2.150458811872935971e+00
1.852960276822864250e+15,1.150004250000007033e+01,2.022466202362217302e+00,1.379129236727785468e+01,2.145420143384083822e+00
1.862163442228643250e+15,1.149004255000006935e+01,2.021846547201537447e+00,1.367558632683294206e+01,2.140382080672107445e+00
1.871366607634422000e+15,1.148004260000006838e+01,2.021209302586103540e+00,1.356271679561158017e+01,2.135340081364514031e+00
1.880569773040201000e+15,1.147004265000006562e+01,2.020556627659325422e+00,1.345232894111200395e+01,2.130305434458338087e+00
1.889772938445980000e+15,1.146004270000006464e+01,2.019887683692778602e+00,1.334443191785332417e+01,2.125267253169822457e+00
1.898976103851758750e+15,1.144004280000006268e+01,2.019205780161053010e+00,1.323817621463899741e+01,2.120235085632163674e+00
1.908179269257537750e+15,1.143004285000006170e+01,2.018509700536008200e+00,1.313392976684093760e+01,2.115206131606623519e+00
1.917382434663316500e+15,1.142004290000006073e+01,2.017796531964168416e+00,1.303191101640977401e+01,2.110178730359007382e+00
1.926585600069095500e+15,1.141004295000005975e+01,2.017075947460015062e+00,1.293219362478133760e+01,2.105169457073495121e+00
1.935788765474874500e+15,1.140004300000005877e+01,2.016343852664699288e+00,1.283519019651487625e+01,2.100178454233742276e+00
1.944991930880653250e+15,1.139004305000005779e+01,2.015597409375114779e+00,1.273871036427708603e+01,2.095198047833175536e+00
1.954195096286432250e+15,1.137004315000005583e+01,2.014840944006242918e+00,1.264491899626236915e+01,2.090232620223436033e+00
1.963398261692211000e+15,1.136004320000005485e+01,2.014073112200077897e+00,1.255391337656360307e+01,2.085274997205539993e+00
1.972601427097990000e+15,1.135004325000005387e+01,2.013294918454590299e+00,1.246323865853702273e+01,2.080331996609021683e+00
1.981804592503768750e+15,1.134004330000005112e+01,2.012505236408762777e+00,1.237583902093801136e+01,2.075401859813495342e+00
1.991007757909547750e+15,1.133004335000005014e+01,2.011705380732548676e+00,1.229003277509634451e+01,2.070481878430844525e+00
2.000210923315326750e+15,1.132004340000004916e+01,2.010895469492967713e+00,1.220494299105431324e+01,2.065573985419213887e+00
2.009414088721105500e+15,1.131004345000004818e+01,2.010077231337094705e+00,1.212164951495187637e+01,2.060687871337474331e+00
2.018617254126884500e+15,1.130004350000004720e+01,2.009246156987684717e+00,1.204027350012878550e+01,2.055807899905644831e+00
2.027820419532663250e+15,1.129004355000004622e+01,2.008411682315935476e+00,1.196031171972783547e+01,2.050949285847408543e+00
2.037023584938442250e+15,1.127004365000004427e+01,2.007564120353909853e+00,1.188288646683222005e+01,2.046096680432175852e+00
2.046226750344221000e+15,1.126004370000004329e+01,2.006713279276093775e+00,1.180576613784124973e+01,2.041276640418124622e+00
2.055429915750000000e+15,1.124891526012270049e+01,2.005852983348876517e+00,1.173066621545420141e+01,2.036469652337297820e+00
